GROUND_DISTANCE_NM,TAILWIND_20,TAILWIND_40,TAILWIND_60,TAILWIND_80,TAILWIND_100
50,46,42,39,37,34
100,93,87,82,77,73
150,141,133,125,119,113
200,189,178,169,161,153
250,236,224,213,203,194
300,284,270,257,246,235
350,332,316,301,288,276
400,380,362,346,331,317
450,428,408,389,373,357
500,476,453,433,415,398
