ANTI_ICE_CONFIGURATION,8,10,12,14,16,18,20,22,24,26,28,30,32
ENGINE ONLY,-2.2,-2.0,-2.0,-2.7,-2.1,-1.8,-1.6,-1.4,-1.3,-1.2,-1.2,-1.1,-0.8
ENGINE & WING,-5.8,-8.1,-8.1,-7.9,-7.4,-7.0,-6.4,-5.6,-4.9,-4.5,-4.3,-4.1,
