GROUND_DISTANCE_NM,20,40,60,80,100
1000,953,911,872,836,803
1400,1336,1277,1224,1174,1129
1800,1718,1644,1576,1513,1455
2200,2101,2011,1928,1852,1781
2600,2484,2378,2281,2191,2108
3000,2867,2745,2633,2530,2435
3400,3250,3113,2986,2870,2762
3800,3633,3480,3339,3210,3090
4200,4016,3847,3693,3550,3417
4600,4399,4215,4046,3890,3745
5000,4782,4583,4399,4230,4073
