CORR'D FIELD LENGTH (M),-40°C,14°C,18°C,22°C,24°C,26°C,28°C,30°C,42°C,46°C,50°C
1450,60.2,54.4,54.1,53.7,53.5,53.3,52.7,52.1,48.2,47.0,45.7
1600,63.1,57.1,56.7,56.3,55.9,55.3,54.6,50.5,49.2,47.9,47.9
1800,66.9,60.4,60.0,59.6,59.4,59.2,58.5,57.8,53.4,52.1,50.7
2000,70.8,63.9,63.5,63.1,62.9,62.7,61.9,61.2,56.6,55.1,53.7
2200,72.5,66.7,66.2,65.8,65.6,65.3,64.6,63.8,58.9,57.4,55.9
2400,72.5,69.3,68.8,68.4,68.1,67.9,67.1,66.3,61.2,59.0,58.0
2600,72.5,72.1,71.6,71.1,70.9,70.6,69.8,68.9,63.8,62.0,60.3
2800,72.5,72.5,72.5,72.5,72.5,72.2,71.3,65.8,61.4,60.9,61.5
3000,72.5,72.5,72.5,72.5,72.5,72.5,72.5,67.9,66.1,66.1,64.3
3200,72.5,72.5,72.5,72.5,72.5,72.5,72.5,69.9,67.4,66.2,66.2
3400,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,69.1,68.0,68.0
3600,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,71.0,69.1,69.2
3800,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,71.4
4000,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4200,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4400,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4600,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4800,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
CLIMB LIMIT WT (1000KG),66.0,66.0,65.9,65.8,65.8,65.7,64.7,63.6,56.5,54.3,52.2
