CORR'D FIELD LENGTH (M),-40°C,14°C,18°C,22°C,24°C,26°C,28°C,30°C,42°C,46°C,50°C
1220,55.5,50.5,50.1,49.8,49.6,49.5,48.9,48.3,44.8,43.6,42.3
1400,59.4,54.1,53.8,53.4,53.2,53.0,52.4,51.8,48.0,46.7,45.4
1600,63.5,57.8,57.4,57.0,56.8,56.6,56.0,55.3,51.2,49.8,48.4
1800,67.4,61.3,60.9,60.5,60.3,60.1,59.4,58.7,54.3,52.8,51.3
2000,71.4,65.0,64.5,64.1,63.9,63.7,62.9,62.2,57.6,56.0,54.5
2200,72.5,67.8,67.3,66.9,66.6,66.4,65.6,64.8,60.0,58.3,56.7
2400,72.5,70.4,69.9,69.4,69.2,69.0,68.1,67.3,62.2,60.4,58.7
2600,72.5,72.5,72.5,72.2,71.9,71.7,70.8,69.9,64.6,62.7,60.9
2800,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.3,66.7,64.8,62.9
3000,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,68.6,66.4,64.0
3200,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.2,68.1
3400,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,68.4
3600,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,69.7
3800,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,70.5
4000,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4200,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4400,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4600,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
CLIMB LIMIT WEIGH(1000kg),66.6,66.6,65.9,65.8,65.8,65.7,64.7,63.6,56.5,54.3,52.2
